subject_code,subject_name,max_marks,credit,practical
SALB2502,DRAFTING, PLEADING AND CONVEYANCE (CLINICAL COURSEI),100,5,True
SALB2503,ARBITRATION, CONCILIATION & ALTERNATIVE DISPUTE RESOLUTION SYSTEM (CLINICAL COURSEIII),100,5,True
SALB2504,ENVIRONMENTAL LAW,100,4,False
SALB2505,INTRODUCTION TO LAW, LEGAL SYSTEMS & LEGAL RESEARCH,100,2,False
SALB2601,CONSTITUTIONAL LAW II,100,4,False
SALB2602,FAMILYLAW II,100,4,False
SALB2603,LAW OF EVIDENCE,100,4,False
SALB2604,JURISPRUDENCE (LEGAL METHOD, INDIAN LEGAL SYSTEM AND BASIC THEORY OF LAW),100,4,False
SALB2605,DISASTER MANAGEMENT,100,2,False
SALB2606,ACADEMIC WRITING,100,2,False
SALB2701,LABOUR LAW -I,100,4,False
SALB2702,CIVIL PROCEDURE CODE AND LIMITATION ACT,100,4,False
SALB2703,LAW OF CRIMES -I (IPC),100,4,False
SALB2704,JURISPRUDENCE (LEGAL METHOD, INDIAN LEGAL SYSTEM AND BASIC THEORY OF LAW),100,4,False
SALB2705,DISASTER MANAGEMENT,100,2,False
SALB2706,ACADEMIC WRITING,100,2,False
SALB2801,COMPANY LAW,100,4,False
SALB2802,DRAFTING, PLEADING AND CONVEYANCE (CLINICAL COURSEI),100,5,True
SALB2803,ARBITRATION, CONCILIATION & ALTERNATIVE DISPUTE RESOLUTION SYSTEM (CLINICAL COURSEIII),100,5,True
SALB2804,ENVIRONMENTAL LAW,100,4,False
SALB2805,INTRODUCTION TO LAW, LEGAL SYSTEMS & LEGAL RESEARCH,100,2,False
SALB2901,PRINCIPLES OF TAXATION LAW,100,4,False
SALB2902,DRAFTING, PLEADING AND CONVEYANCE (CLINICAL COURSEI),100,5,True
SALB2903,ARBITRATION, CONCILIATION & ALTERNATIVE DISPUTE RESOLUTION SYSTEM (CLINICAL COURSEIII),100,5,True
SALB2904,ENVIRONMENTAL LAW,100,4,False
SALB2905,INTRODUCTION TO LAW, LEGAL SYSTEMS & LEGAL RESEARCH,100,2,False
SALB3001,CONSTITUTIONAL LAW II,100,4,False
SALB3002,FAMILYLAW II,100,4,False
SALB3003,LAW OF EVIDENCE,100,4,False
SALB3004,JURISPRUDENCE (LEGAL METHOD, INDIAN LEGAL SYSTEM AND BASIC THEORY OF LAW),100,4,False
SALB3005,DISASTER MANAGEMENT,100,2,False
SALB3006,ACADEMIC WRITING,100,2,False
SALB3007,PROFESSIONAL ETHICS AND PROFESSIONAL ACCOUNTING (CLINICAL COURSE II),100,5,True
SALB3008,MOOT COURTEXERCISE& INTERNSHIP (CLINICAL COURSE -IV),100,6,True
SALB3101,COMPANY LAW,100,4,False
SALB3102,DRAFTING, PLEADING AND CONVEYANCE (CLINICAL COURSEI),100,5,True
SALB3103,ARBITRATION, CONCILIATION & ALTERNATIVE DISPUTE RESOLUTION SYSTEM (CLINICAL COURSEIII),100,5,True
SALB3104,ENVIRONMENTAL LAW,100,4,False
SALB3105,INTRODUCTION TO LAW, LEGAL SYSTEMS & LEGAL RESEARCH,100,2,False
SALB3201,CONSTITUTIONAL LAW II,100,4,False
SALB3202,FAMILYLAW II,100,4,False
SALB3203,LAW OF EVIDENCE,100,4,False
SALB3204,JURISPRUDENCE (LEGAL METHOD, INDIAN LEGAL SYSTEM AND BASIC THEORY OF LAW),100,4,False
SALB3205,DISASTER MANAGEMENT,100,2,False
SALB3206,ACADEMIC WRITING,100,2,False
SALB3301,LABOUR LAW -I,100,4,False
SALB3302,CIVIL PROCEDURE CODE AND LIMITATION ACT,100,4,False
SALB3303,LAW OF CRIMES -I (IPC),100,4,False
SALB3304,JURISPRUDENCE (LEGAL METHOD, INDIAN LEGAL SYSTEM AND BASIC THEORY OF LAW),100,4,False
SALB3305,DISASTER MANAGEMENT,100,2,False
SALB3306,ACADEMIC WRITING,100,2,False
SALB3401,COMPANY LAW,100,4,False
SALB3402,DRAFTING, PLEADING AND CONVEYANCE (CLINICAL COURSEI),100,5,True
SALB3403,ARBITRATION, CONCILIATION & ALTERNATIVE DISPUTE RESOLUTION SYSTEM (CLINICAL COURSEIII),100,5,True
SALB3404,ENVIRONMENTAL LAW,100,4,False
SALB3405,INTRODUCTION TO LAW, LEGAL SYSTEMS & LEGAL RESEARCH,100,2,False
SALB3501,PUBLIC INTERNATIONAL LAW,100,4,False
SALB3502,FAMILY LAW II,100,4,False
SALB3503,PROPERTY LAW,100,4,False
SALB3504,LEGAL LANGUAGE AND WRITING,100,2,False
SALB3505,DISASTER MANAGEMENT,100,2,False
SALB3506,ACADEMIC WRITING,100,2,False
