"filename", "language", "YAML", "Java Properties", "Markdown", "Dart", "Gradle", "XML", "Kotlin", "Swift", "sqlite3-editor-database", "C++", "JSON", "comment", "blank", "total"
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\main.dart", "Dart", 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 1, 7, 103
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\models\branch.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 26
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\models\course.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\models\current_sem_cgpa.dart", "Dart", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\models\sem_subject.dart", "Dart", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 1, 10, 44
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\models\subject.dart", "Dart", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 11, 8, 73
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\respositories\connect_erp.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\utilites\secure_storage.dart", "Dart", 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 20, 15, 124
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\utilites\sqlite_db.dart", "Dart", 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 28, 25, 174
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\utilites\utils.dart", "Dart", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 7, 50
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\widget\common_list_widget.dart", "Dart", 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 8, 117
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\widget\subject_wiget.dart", "Dart", 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 3, 8, 120
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\pubspec.yaml", "YAML", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 43
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\test\widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"Total", "-", 36, 8, 13, 2158, 101, 121, 4, 19, 5813, 1, 151203, 304, 424, 160205
